Section,Metric / Item,Value,Status,Notes,,,,,,,
Header,Teacher Name,,,,,,,,,,
Header,School,,,,,,,,,,
Header,Grade,,,,,,,,,,
Header,Homeroom,,,,,,,,,,
Header,School Year,,,,,,,,,,
Header,Reporting Period,,,,,,,,,,
KPI,Total Students,,,,,,,,,,
KPI,Attendance Rate,,,,,,,,,,
KPI,Students Absent Today,,,,,,,,,,
KPI,Students Late Today,,,,,,,,,,
KPI,Assignments Due This Week,,,,,,,,,,
KPI,Awaiting Grading,,,,,,,,,,
KPI,Upcoming Assessments,,,,,,,,,,
KPI,Parent Contacts This Month,,,,,,,,,,
KPI,Students Requiring Intervention,,,,,,,,,,
KPI,PD Hours YTD,,,,,,,,,,
