Subject,Strand,Overall Expectation,Specific Expectation Code,Specific Expectation Description
Language,Oral Communication,Listen to understand and respond appropriately,L2-OC1,Identify important ideas in oral texts
Language,Oral Communication,Use speaking skills for a variety of purposes,L2-OC2,Speak clearly and logically in classroom contexts
Language,Reading,Apply reading comprehension strategies,L2-R1,Use predicting questioning and inferring
Language,Reading,Read fluently and understand texts,L2-R2,Read familiar texts with increasing fluency
Language,Writing,Generate organize and express ideas in writing,L2-W1,Write simple forms for different purposes
Language,Writing,Use conventions to communicate clearly,L2-W2,Apply capitals punctuation spacing and spelling patterns
Language,Media Literacy,Demonstrate understanding of media texts,L2-M1,Identify purpose and audience of simple media texts
Math,Number,Demonstrate understanding of numbers,M2-N1,Read represent compare and order whole numbers
Math,Number,Apply addition and subtraction strategies,M2-N2,Solve addition and subtraction problems using strategies
Math,Algebra,Identify extend and create patterns,M2-A1,Represent repeating and growing patterns
Math,Algebra,Use coding and mathematical processes,M2-A2,Follow and create simple coded steps and pattern rules
Math,Data,Collect organize display and interpret data,M2-D1,Read and create simple graphs
Math,Spatial Sense,Describe and compare shapes and locations,M2-SS1,Identify 2D shapes and 3D objects
Math,Spatial Sense,Measure attributes using standard units,M2-SS2,Estimate and measure length area capacity and mass
Math,Financial Literacy,Understand money and financial concepts,M2-FL1,Identify coins bills and solve simple money problems
Science,Growth and Changes in Animals,Demonstrate understanding of animal life systems,S2-A1,Identify stages in life cycles of animals
Science,Growth and Changes in Animals,Investigate similarities and differences in animals,S2-A2,Compare characteristics and habitats
Science,Liquids and Solids,Demonstrate understanding of properties,S2-L1,Describe properties of liquids and solids
Science,Liquids and Solids,Investigate changes in states and properties,S2-L2,Explore how materials can change
Science,Air and Water,Demonstrate understanding of air and water in the environment,S2-AW1,Identify importance of air and water
Science,Air and Water,Investigate uses and conservation,S2-AW2,Explain ways to protect air and water
Science,Movement,Demonstrate understanding of movement,S2-M1,Explore pushes pulls and motion
Science,Movement,Investigate mechanisms and simple movement,S2-M2,Describe how forces affect movement
Social Studies,Heritage and Identity,Describe traditions and communities in Canada,SS2-H1,Identify contributions of diverse communities
Social Studies,Heritage and Identity,Use inquiry to explore identities and traditions,SS2-H2,Ask questions and gather information
Social Studies,People and Environments,Understand global communities and connections,SS2-PE1,Compare physical and social features of communities
Social Studies,People and Environments,Use maps and inquiry tools,SS2-PE2,Locate places and interpret simple maps
Health,Social-Emotional Learning,Apply social-emotional skills,H2-SEL1,Identify emotions and use regulation strategies
Health,Healthy Living,Demonstrate understanding of healthy choices,H2-HL1,Identify habits that support well-being
Health,Personal Safety,Demonstrate personal safety awareness,H2-PS1,Identify safe and unsafe situations and supports
Phys. Ed.,Active Living,Participate actively and safely,PE2-AL1,Engage in daily physical activity
Phys. Ed.,Movement Competence,Apply movement skills and strategies,PE2-MC1,Perform locomotor and non-locomotor skills
Visual Arts,Creating and Presenting,Create art using elements and techniques,A2-VA1,Produce art using line shape colour and texture
Visual Arts,Reflecting and Responding,Reflect on own and others’ art,A2-VA2,Talk about choices and meaning in artworks
Music,Creating and Performing,Perform music in classroom contexts,A2-MU1,Sing or play with expression and accuracy
Music,Reflecting and Responding,Identify elements of music,A2-MU2,Describe tempo dynamics beat and mood
Drama,Creating and Presenting,Use role movement and voice in drama,A2-DR1,Engage in simple dramatic play and storytelling
Dance,Creating and Presenting,Use movement to communicate ideas,A2-DA1,Create short movement sequences
French,Listening,Understand simple spoken French,F2-L1,Follow familiar classroom instructions
French,Speaking,Communicate orally in simple ways,F2-S1,Use familiar vocabulary and sentence frames
French,Reading,Read simple familiar texts,F2-R1,Recognize familiar words and phrases
French,Writing,Write simple words and patterned sentences,F2-W1,Copy and compose simple text using supports
